Document_No,Assignee,Priority_Date,File_Date,Publish_Grant_Date,Country_Code,PSCORE,LSCORE,CSCORE,TSCORE
US20030018033,PFIZER,5/2/1998,22/7/2002,23/1/2003,US,27,37,17,93
US6727392,PFIZER,27/10/2000,15/10/2002,27/4/2004,US,99,95,92,96
US6924310,PFIZER,31/3/2000,10/10/2003,2/8/2005,US,94,66,82,98
US20030104487,PFIZER,15/8/2001,15/8/2002,5/6/2003,US,13,38,16,54
US20030055021,PFIZER,16/3/2001,15/3/2002,20/3/2003,US,59,7,70,99
US7378101,PFIZER,21/12/2001,21/5/2004,27/5/2008,US,86,84,60,68
US20030083337,PFIZER,29/3/1996,9/8/2002,1/5/2003,US,81,77,45,96
US20030175326,PFIZER,5/3/2002,6/8/2002,18/9/2003,US,96,58,95,98
US20030180785,PFIZER,26/3/1998,21/4/2003,25/9/2003,US,86,72,63,83
US7635702,PFIZER,18/9/2002,10/11/2006,22/12/2009,US,69,0,97,74
US7638537,PFIZER,18/9/2002,8/11/2006,29/12/2009,US,67,0,95,74
US7199243,PFIZER,26/11/2002,24/11/2003,3/4/2007,US,73,2,91,96
US20080176857,PFIZER,25/3/2005,20/3/2006,24/7/2008,US,45,0,65,86
US20060122224,PFIZER,28/3/2003,15/12/2005,8/6/2006,US,61,5,76,93
US20060257429,PFIZER,23/10/2003,11/10/2004,16/11/2006,US,35,44,23,83
US20030191158,PFIZER,11/2/2002,6/2/2003,9/10/2003,US,22,2,40,91
US6974575,PFIZER,28/8/2001,27/8/2002,13/12/2005,US,17,13,39,60
US20040146896,PFIZER,30/10/2002,30/10/2003,29/7/2004,US,48,60,20,89
US20040110714,PFIZER,9/10/2002,30/9/2003,10/6/2004,US,66,70,30,96
US20050100509,PFIZER,30/4/1999,26/3/2004,12/5/2005,US,49,32,40,99
US8114871,PFIZER,12/4/2007,10/4/2008,14/2/2012,US,87,38,94,75
US20020151507,PFIZER,11/6/1997,26/3/2002,17/10/2002,US,10,2,24,88
US20050004223,PFIZER,25/4/2003,26/4/2004,6/1/2005,US,87,46,84,88
US20050032163,PFIZER,20/5/2003,20/5/2004,10/2/2005,US,77,64,47,99
US7138406,PFIZER,8/7/2002,8/7/2003,21/11/2006,US,94,47,98,96
